Target System	Query	Consistent	Sogou Relevance	Target System Relevance	SBS	SBS Comments	ERR Sogou	ERR Target System	Sogou Page	Target Page
baidu	0011:美女图片	P=M<	4.5|3|4|3|4	4.5|4|3|2|4	0	两侧差不多	0.7445	0.7553
baidu	0012:oppor9	P=M<	4.5|2|3|3|3	4.5|3|3|2|3	0	None	0.7111	0.7284
baidu	0019:长江水文网	P=M<	5|2|3|2|0	5|3|2.5|3|0	0	明确官网需求，首条都给出官网主需手机页，除首条外的结果只要不是垃圾死链无效不相关，SBS打分即为持平	0.8461	0.8576
baidu	0023:笃字的拼音	P=M>	4.5|4|3.5|2|2.5	4.5|2|3.5|0|0	0	搜狗百度首条均已满足需求，且该查询词无多样性需求，所以持平	0.7492	0.6827
baidu	0025:雪佛兰	P=M<	4|3|4|3|3	4|4|3|3|3	0	None	0.7422	0.7555
baidu	0030:腾讯电脑管家	P=M>	4|3|3|4|2	4|3|3|2.5|2.5	0	None	0.7359	0.7238
baidu	0034:海马s5	P=M>	4.5|4.5|3|3|3	4.5|3|3|4|4	0	两侧差不多	0.7555	0.7405
baidu	0041:一级建造师注册网	P=M<	4.5|2.5|3.5|0|2	4.5|3|2.5|0|3	0	两侧差不多	0.6903	0.7114
baidu	0042:韩剧步步惊心丽	P=M<	4.5|3|3|2|3	4.5|3|4|2|3	0	两侧均满足视频主需和视频周边次需	0.7284	0.7389
baidu	0043:我的世界籽岷	P<M>	4|4|3.5|2|2	4.5|3|3|2|4	-1	百度首条便捷	0.7492	0.733
baidu	0049:大乐透	P=M>	4|3.5|2|2|3	4|2.5|3|2|2.5	0	两侧差不多	0.7179	0.6984
sm	0002:49天之同人	P=M<	0|0|0|2|0	0|0|2|0|0	0	搜狗和神马都不满足需求	0.05	0.0667
sm	0008:球球大作战兑换码礼品	P=M>	0|0|0|2|3	0|0|0|0|2	0	两侧差不多	0.114	0.04
sm	0010:wipe cache partition	P<M>	3|3|4|3|0	3|4|0|3|0	-1	神马第二条的经验和搜狗第三条的指南需求满足好，搜狗好结果未排进首屏，所以搜狗略微落败	0.6064	0.604
sm	0019:长江水文网	P=M>	5|2|3|2|0	3|2|2|3|2	0	明确官网需求，首条都给出官网主需手机页，除首条外的结果只要不是垃圾死链无效不相关，SBS打分即为持平	0.8461	0.5396
sm	0023:笃字的拼音	P=M>	4.5|4|3.5|2|2.5	4|3.5|4|0|3.5	0	搜狗神马首条均已满足需求，且该查询词无多样性需求，所以持平	0.7492	0.7357
sm	0024:天气预报济南	P=M<	3|3|4|4|3	4.5|3|4|3|4	0	主需求为天气，搜狗神马首条均满足，首屏持平，前五其他结果需求都不高，所以前五也持平	0.6182	0.7445
sm	0030:腾讯电脑管家	P=M>	4|3|3|4|2	4|3|2.5|3|0	0	None	0.7359	0.7152
