None	1	0	385	7	149	果糖(河北华旭药业)价格_说明书_功效与作用_副作用_39药品通[图文]果糖用APP扫描药品盒5秒钟辩出真假药品英文名称...其中以高血糖为主要标志.I型糖尿病多发生于青少年,...39健康网-ypk.39.net
2	2	0	385	156	425	果糖的主要功能的相关问答_搜狗知识果糖和半乳糖的主要功能_百度知道1个回答[满意答案]半乳糖:作用:因它含有热量,它也会被用作营养增甜剂.半乳糖是乳糖分子的一部分,另一半是葡萄糖...牛奶中的乳糖被人体分解为葡萄糖和半乳糖被吸收利用.果糖:基本上与葡萄糖同,具有直接供给热能、...果糖功能_百度知道1个回答果糖的用途是什么_百度知道4个回答查看更多
None	3	0	385	432	572	果糖_百度百科也因此,果糖以及相关制品被广泛应用于糖尿病患者与肝功能不全者的饮食结构中.其实,果糖之所以升糖指数低,主要是由于果糖在人体内的代谢速度要比葡萄糖和蔗糖等传统糖都要慢,并且果糖的代谢并不依赖胰岛素,而是直...理化性质口感风味吸湿保湿渗透溶解
None	4	None	None	None	None	(function(){pingback('wap_business',{count:0,result:0});functionpingback(type,params){varuuid='';if(window.uigs_para&&window.uigs_para.uuid){uuid=window.uigs_para.uuid;}varurl=['https://pb.sogou.com/pv.gif?uigs_productid=kmap&type=',type];if(uuid){url.push('&k_uuid='+uuid);}if(window.oldQuery){url.push('&gbkQuery='+encodeURIComponent(window.oldQuery));}for(varkeyinparams){if(params.hasOwnProperty(key)){url.push('&'+key+'='+encodeURIComponent(params[key]));}}(newImage()).src=url.join('');}}())
4	5	None	None	None	None	【果糖的作用】-大众养生网果糖的作用:果糖(C6H12O6,Jmol立体图)是一种简...半乳糖一起构成了血糖的三种主要成份.蜂蜜,树上的...大众养生网-m.cndzys.com
None	6	None	None	None	None	果糖的主要功能的相关微信公众号文章低聚果糖的重要功能(上)低聚果糖的功能低聚果糖在调节肠道菌群、增强免疫系统、促进矿物质吸收方面有着重要的作用.接下来我们来了解低聚果糖的第一个...一般可以这么认为,益生元给益生菌提供“食物”,能够被肠道内有益细菌分解吸收,促进有益细菌生长繁殖.低聚果糖是益生元中最为优异的代表之一.低聚果糖的功能低聚果糖在调节肠道菌群、增强免疫系统、促进矿物质吸收方面有着重要的作用.接下来我们来了解低聚果糖的第一个重要...低聚果糖的功效低聚果糖的重要功能(下)更多相关文章
None	7	19	366	972	1093	95%的人还搜了葡萄糖和果糖果糖的结构式甘油果糖果糖价格
None	8	0	385	1099	1332	果糖用途_百度文库总之,果糖的解酒作用主要是在保肝护肝,维持正常血糖水平等方面.在果酒,药酒,汽酒,药用糖浆,果汁饮料,果酱,水果罐头,蜜饯,硬糖果,硬烘焙制品中,果糖可100%...百度文库2页低聚果糖的功能_百度文库百度文库2页低聚果糖的功能-道客巴巴道客巴巴3页
None	9	0	1	366	367	
None	10	0	1	366	367	
None	11	None	None	None	None	去搜狗问问提问：;;;;;;(function($,window){varsogou=window.sogou=window.sogou||{},vr=sogou.vr=sogou.vr||{},vr10433=vr.vr10433=vr.vr10433||{};vr10433.init=function(classid,rank,tcurl,pagestyle){vargetId=function(id){return"sogou_vr_"+classid+"_"+rank+(id?"_"+id:"");}vargetElement=function(id){returndocument.getElementById(getId(id));}vargetUrl=function(url,linkId){return[tcurl,"wml=1&clk=",rank,"&url=",encodeURIComponent(url),'&vrid=',classid,'&linkid=',linkId||'2'].join('');}varuserQuery=getElement('userQuery');userQuery.innerHTML="<em>"+oldQuery.replace(/</g,"&lt;").replace(/>/g,"&gt;")+"</em>";vartotalURL=getElement('totalURL');if(totalURL){totalURL.href=getUrl('http://wenwen.m.sogou.com/inputqu.jsp?g_ut=3&sgkey='+encodeURIComponent(oldQuery)+'&g_f=11301037','1');}}})(Zepto,window);sogou.vr.vr10433.init('','10','./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919100309/keyword=%E6%9E%9C%E7%B3%96%E7%9A%84%E4%B8%BB%E8%A6%81%E5%8A%9F%E8%83%BD/id=902e7bcd-7594-4db1-bcdc-36235f21084c/sec=snHsF8g4OpyB-xYx_J1IIw../dp=1/vr=11005401/tc?dp=1&amp;key=%E6%9E%9C%E7%B3%96%E7%9A%84%E4%B8%BB%E8%A6%81%E5%8A%9F%E8%83%BD&amp;pno=1&amp;g_ut=3&amp;is_per=0&amp;','pc');
None	12	0	385	1592	2017	低聚果糖的功能接下来我们来了解低聚果糖的第一个重要功能——调节...低聚果糖的其它功能低聚果糖除了以上主要功能外,还...360个人图书馆-www.360doc.cn
None	13	0	385	2024	2167	低聚果糖是什么?低聚果糖有哪些功能作用?即是从菊芋中提取的。低聚果糖的主要功能作用a..润肠通便:良好的水溶性膳食纤维。,促进肠道蠕动、清除...360个人图书馆-www.360doc.cn
None	14	0	385	2173	2338	果糖的3个用途_家庭医生在线药品频道频道果糖的甜度是蔗糖的一倍半,是糖类中最甜的。工业上...乳果糖口服溶液主要是用于治疗慢性功能性便秘。乳果...m.familydoctor.com.cn
None	15	0	385	2344	2479	低聚果糖的功效_百度文库低聚果糖的主要功能作用1、促进双歧杆菌增殖.双歧杆菌在肠道内数量越多越好.人体试验表明,摄入低聚果粮可以促使双歧杆菌迅速增殖,从而抑制有害菌的生长,维护肠道菌...百度文库2页
